Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
17/08/2013,Arsenal,Aston Villa,1,3,A,1,1,D,1.44,4.75,8,1.36,5,7.75
17/08/2013,Liverpool,Stoke,1,0,H,1,0,H,1.4,5,9.5,1.4,4.33,8.25
17/08/2013,Norwich,Everton,2,2,D,0,0,D,3.2,3.4,2.4,3.1,3.25,2.3
17/08/2013,Sunderland,Fulham,0,1,A,0,0,D,2.3,3.4,3.4,2.25,3.2,3.25
17/08/2013,Swansea,Man United,1,4,A,0,2,A,4.2,3.5,2,4.1,3.5,1.87
17/08/2013,West Brom,Southampton,0,1,A,0,0,D,2.4,3.4,3.2,2.3,3.25,3.1
17/08/2013,West Ham,Cardiff,2,0,H,1,0,H,2,3.6,4,1.91,3.4,4
18/08/2013,Chelsea,Hull,2,0,H,2,0,H,1.2,7,21,1.19,6.25,15
18/08/2013,Crystal Palace,Tottenham,0,1,A,0,0,D,4.75,3.75,1.83,4.75,3.7,1.72
19/08/2013,Man City,Newcastle,4,0,H,2,0,H,1.33,5.5,11,1.3,5.25,9.75
21/08/2013,Chelsea,Aston Villa,2,1,H,1,1,D,1.29,5.5,10,1.28,5.25,10
24/08/2013,Aston Villa,Liverpool,0,1,A,0,1,A,4,3.75,1.95,3.8,3.6,1.91
24/08/2013,Everton,West Brom,0,0,D,0,0,D,1.57,4.33,6.5,1.53,4.1,6
24/08/2013,Fulham,Arsenal,1,3,A,0,2,A,3.8,3.5,2.1,3.6,3.5,2
24/08/2013,Hull,Norwich,1,0,H,1,0,H,2.45,3.4,3.1,2.4,3.25,2.95
24/08/2013,Newcastle,West Ham,0,0,D,0,0,D,2.3,3.4,3.4,2.25,3.2,3.25
24/08/2013,Southampton,Sunderland,1,1,D,0,1,A,1.73,3.8,5.5,1.65,3.8,5
24/08/2013,Stoke,Crystal Palace,2,1,H,0,1,A,1.83,3.6,5,1.8,3.4,4.6
25/08/2013,Cardiff,Man City,3,2,H,0,0,D,8.5,4.75,1.44,8.25,4.2,1.42
25/08/2013,Tottenham,Swansea,1,0,H,0,0,D,1.62,4,6.5,1.57,3.75,6.25
26/08/2013,Man United,Chelsea,0,0,D,0,0,D,2.45,3.4,3.1,2.3,3.4,3
31/08/2013,Cardiff,Everton,0,0,D,0,0,D,3.25,3.4,2.38,3.1,3.25,2.3
31/08/2013,Crystal Palace,Sunderland,3,1,H,1,0,H,2.6,3.3,3,2.55,3.25,2.75
31/08/2013,Man City,Hull,2,0,H,0,0,D,1.17,8.5,19,1.16,7.25,15.5
31/08/2013,Newcastle,Fulham,1,0,H,0,0,D,2.15,3.4,3.75,2.05,3.3,3.6
31/08/2013,Norwich,Southampton,1,0,H,0,0,D,3,3.3,2.55,2.85,3.25,2.45
31/08/2013,West Ham,Stoke,0,1,A,0,0,D,2,3.4,4.33,1.91,3.5,3.9
01/09/2013,Arsenal,Tottenham,1,0,H,1,0,H,2.1,3.7,3.6,2,3.5,3.6
01/09/2013,Liverpool,Man United,1,0,H,1,0,H,2.63,3.4,2.88,2.6,3.3,2.65
01/09/2013,West Brom,Swansea,0,2,A,0,1,A,2.7,3.4,2.8,2.55,3.4,2.65
14/09/2013,Aston Villa,Newcastle,1,2,A,0,1,A,2.15,3.4,3.8,2.1,3.3,3.5
14/09/2013,Everton,Chelsea,1,0,H,1,0,H,3.4,3.3,2.35,3.4,3.4,2.2
14/09/2013,Fulham,West Brom,1,1,D,1,0,H,2.15,3.5,3.6,2.15,3.4,3.6
14/09/2013,Hull,Cardiff,1,1,D,1,0,H,2.45,3.25,3.25,2.4,3.2,3
14/09/2013,Man United,Crystal Palace,2,0,H,1,0,H,1.22,7,16,1.19,6.5,14
14/09/2013,Stoke,Man City,0,0,D,0,0,D,6,4,1.65,5.25,3.9,1.62
14/09/2013,Sunderland,Arsenal,1,3,A,0,1,A,6,3.9,1.67,5.75,3.8,1.6
14/09/2013,Tottenham,Norwich,2,0,H,1,0,H,1.45,4.75,8,1.42,4.25,8
15/09/2013,Southampton,West Ham,0,0,D,0,0,D,1.85,3.6,4.75,1.83,3.7,4
16/09/2013,Swansea,Liverpool,2,2,D,1,2,A,3.5,3.5,2.2,3.6,3.4,2.15
21/09/2013,Chelsea,Fulham,2,0,H,0,0,D,1.3,5.75,12,1.25,5.5,11.5
21/09/2013,Liverpool,Southampton,0,1,A,0,0,D,1.6,4,6.5,1.57,4,5.75
21/09/2013,Newcastle,Hull,2,3,A,2,1,H,1.85,3.5,5,1.75,3.4,5
21/09/2013,Norwich,Aston Villa,0,1,A,0,1,A,2.4,3.4,3.2,2.4,3.3,2.9
21/09/2013,West Brom,Sunderland,3,0,H,1,0,H,2.05,3.4,4.2,1.95,3.4,3.9
21/09/2013,West Ham,Everton,2,3,A,1,0,H,3.3,3.3,2.4,3,3.3,2.35
22/09/2013,Arsenal,Stoke,3,1,H,2,1,H,1.36,5.25,10,1.35,4.75,8.75
22/09/2013,Cardiff,Tottenham,0,1,A,0,0,D,4.5,3.6,1.91,4.25,3.6,1.8
22/09/2013,Crystal Palace,Swansea,0,2,A,0,1,A,3.5,3.4,2.25,3.1,3.3,2.3
22/09/2013,Man City,Man United,4,1,H,2,0,H,2.2,3.4,3.6,2.1,3.4,3.4
28/09/2013,Aston Villa,Man City,3,2,H,0,1,A,6.5,4.2,1.57,7,4.1,1.48
28/09/2013,Fulham,Cardiff,1,2,A,1,1,D,2.1,3.4,3.9,2,3.3,3.8
28/09/2013,Hull,West Ham,1,0,H,1,0,H,2.38,3.3,3.3,2.35,3.2,3.1
28/09/2013,Man United,West Brom,1,2,A,0,0,D,1.3,5.75,12,1.26,5.75,10
28/09/2013,Southampton,Crystal Palace,2,0,H,0,0,D,1.45,4.5,8.5,1.45,4.2,7.25
28/09/2013,Swansea,Arsenal,1,2,A,0,0,D,3.2,3.4,2.38,3.1,3.4,2.25
28/09/2013,Tottenham,Chelsea,1,1,D,1,0,H,2.7,3.3,2.88,2.65,3.3,2.6
29/09/2013,Stoke,Norwich,0,1,A,0,1,A,1.95,3.4,4.5,1.95,3.3,4
