Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
13/08/2011,Blackburn,Wolves,1,2,A,1,1,D,2.2,3.2,3.5,2,3.3,3.6
13/08/2011,Fulham,Aston Villa,0,0,D,0,0,D,2.2,3.2,3.5,2.05,3.3,3.45
13/08/2011,Liverpool,Sunderland,1,1,D,1,0,H,1.57,3.6,7,1.45,3.85,7.5
13/08/2011,Newcastle,Arsenal,0,0,D,0,0,D,3.75,3.25,2.1,3.65,3.25,2
13/08/2011,QPR,Bolton,0,4,A,0,1,A,2.4,3.25,3,2.25,3.25,3.05
13/08/2011,Wigan,Norwich,1,1,D,1,1,D,2.2,3.2,3.5,2.05,3.25,3.5
14/08/2011,Stoke,Chelsea,0,0,D,0,0,D,5.5,3.5,1.7,5.75,3.45,1.62
14/08/2011,West Brom,Man United,1,2,A,1,1,D,6.5,4,1.53,6.5,3.8,1.5
15/08/2011,Man City,Swansea,4,0,H,0,0,D,1.29,5,13,1.25,5.5,10
20/08/2011,Arsenal,Liverpool,0,2,A,0,0,D,2.5,3.25,2.9,2.45,3.3,2.95
20/08/2011,Aston Villa,Blackburn,3,1,H,2,0,H,1.73,3.4,5.5,1.65,3.5,5.5
20/08/2011,Chelsea,West Brom,2,1,H,0,1,A,1.3,5.5,10,1.28,5.5,9
20/08/2011,Everton,QPR,0,1,A,0,1,A,1.53,3.8,7,1.5,3.75,7.25
20/08/2011,Sunderland,Newcastle,0,1,A,0,0,D,2.2,3.25,3.4,2.15,3.3,3.5
20/08/2011,Swansea,Wigan,0,0,D,0,0,D,2.1,3.3,3.6,2.1,3.25,3.45
21/08/2011,Bolton,Man City,2,3,A,1,2,A,4.75,3.5,1.8,5,3.5,1.78
21/08/2011,Norwich,Stoke,1,1,D,1,0,H,2.6,3.3,2.75,2.55,3.3,2.8
21/08/2011,Wolves,Fulham,2,0,H,2,0,H,2.38,3.25,3.1,2.3,3.25,3.05
22/08/2011,Man United,Tottenham,3,0,H,0,0,D,1.67,3.75,5.5,1.62,3.75,5.25
27/08/2011,Aston Villa,Wolves,0,0,D,0,0,D,2.1,3.25,3.75,2,3.4,3.9
27/08/2011,Blackburn,Everton,0,1,A,0,0,D,3.3,3.25,2.25,3.1,3.4,2.3
27/08/2011,Chelsea,Norwich,3,1,H,1,0,H,1.2,6.5,15,1.22,5.5,14
27/08/2011,Liverpool,Bolton,3,1,H,1,0,H,1.4,4.5,8.5,1.42,4,8.5
27/08/2011,Swansea,Sunderland,0,0,D,0,0,D,2.38,3.3,3,2.35,3.2,3
27/08/2011,Wigan,QPR,2,0,H,1,0,H,2.25,3.3,3.25,2.25,3.2,3.15
28/08/2011,Man United,Arsenal,8,2,H,3,1,H,1.5,4.33,6.5,1.45,4,7.5
28/08/2011,Newcastle,Fulham,2,1,H,0,0,D,2.1,3.25,3.75,2,3.25,3.8
28/08/2011,Tottenham,Man City,1,5,A,0,2,A,2.88,3.3,2.5,2.9,3.4,2.45
28/08/2011,West Brom,Stoke,0,1,A,0,0,D,2.1,3.25,3.75,2,3.25,3.8
10/09/2011,Arsenal,Swansea,1,0,H,1,0,H,1.36,4.75,9,1.33,4.75,9.25
10/09/2011,Bolton,Man United,0,5,A,0,3,A,9,4.5,1.4,8,4.3,1.4
10/09/2011,Everton,Aston Villa,2,2,D,1,0,H,2,3.4,3.8,2.1,3.25,3.75
10/09/2011,Man City,Wigan,3,0,H,1,0,H,1.17,7,17,1.14,7,20
10/09/2011,Stoke,Liverpool,1,0,H,1,0,H,3.25,3.3,2.25,3.4,3.25,2.25
10/09/2011,Sunderland,Chelsea,1,2,A,0,1,A,5,3.75,1.7,5.5,3.6,1.65
10/09/2011,Wolves,Tottenham,0,2,A,0,0,D,3,3.25,2.4,2.85,3.4,2.45
11/09/2011,Fulham,Blackburn,1,1,D,1,1,D,1.67,3.6,5.5,1.65,3.4,5.75
11/09/2011,Norwich,West Brom,0,1,A,0,1,A,2.5,3.25,2.88,2.45,3.25,2.8
12/09/2011,QPR,Newcastle,0,0,D,0,0,D,2.4,3.25,3,2.45,3.3,2.95
17/09/2011,Aston Villa,Newcastle,1,1,D,1,0,H,1.91,3.4,4.2,1.9,3.4,4
17/09/2011,Blackburn,Arsenal,4,3,H,1,2,A,4.2,3.4,1.91,4.5,3.4,1.88
17/09/2011,Bolton,Norwich,1,2,A,0,2,A,1.8,3.6,4.6,1.75,3.45,4.75
17/09/2011,Everton,Wigan,3,1,H,1,1,D,1.5,4,7,1.53,3.75,6.5
17/09/2011,Swansea,West Brom,3,0,H,2,0,H,2.63,3.2,2.75,2.6,3.25,2.8
17/09/2011,Wolves,QPR,0,3,A,0,2,A,1.91,3.4,4.2,1.9,3.35,4
18/09/2011,Fulham,Man City,2,2,D,0,1,A,6.5,3.8,1.57,6.5,3.75,1.53
18/09/2011,Man United,Chelsea,3,1,H,3,0,H,1.83,3.5,4.5,1.85,3.5,4.5
18/09/2011,Sunderland,Stoke,4,0,H,3,0,H,2.4,3.2,3.1,2.4,3.15,2.95
18/09/2011,Tottenham,Liverpool,4,0,H,1,0,H,2.63,3.4,2.63,2.7,3.25,2.7
24/09/2011,Arsenal,Bolton,3,0,H,0,0,D,1.44,4.5,7,1.45,4.33,7.75
24/09/2011,Chelsea,Swansea,4,1,H,2,0,H,1.2,6.5,15,1.2,6.25,13
24/09/2011,Liverpool,Wolves,2,1,H,2,0,H,1.36,4.5,10,1.35,4.6,9
24/09/2011,Man City,Everton,2,0,H,0,0,D,1.44,4.33,7.5,1.4,4.4,7.75
24/09/2011,Newcastle,Blackburn,3,1,H,2,1,H,1.83,3.5,4.5,1.8,3.4,4.5
24/09/2011,Stoke,Man United,1,1,D,0,1,A,6.5,4,1.53,6.5,4,1.5
24/09/2011,West Brom,Fulham,0,0,D,0,0,D,2.3,3.25,3.25,2.25,3.2,3.2
24/09/2011,Wigan,Tottenham,1,2,A,0,2,A,4,3.5,1.91,4,3.35,1.9
25/09/2011,QPR,Aston Villa,1,1,D,0,0,D,2.3,3.25,3.2,2.3,3.3,3.2
26/09/2011,Norwich,Sunderland,2,1,H,1,0,H,2.5,3.4,2.8,2.5,3.25,2.9
01/10/2011,Aston Villa,Wigan,2,0,H,1,0,H,1.62,3.75,6,1.6,3.8,5.5
01/10/2011,Blackburn,Man City,0,4,A,0,0,D,6.5,3.75,1.57,5.75,3.8,1.57
01/10/2011,Everton,Liverpool,0,2,A,0,0,D,3.1,3.2,2.4,3.1,3.2,2.4
01/10/2011,Man United,Norwich,2,0,H,0,0,D,1.17,7,17,1.15,7,16
01/10/2011,Sunderland,West Brom,2,2,D,2,2,D,2.25,3.4,3.2,2.15,3.3,3.3
01/10/2011,Wolves,Newcastle,1,2,A,0,2,A,2.5,3.25,2.88,2.45,3.2,2.85
02/10/2011,Bolton,Chelsea,1,5,A,0,4,A,6.5,4,1.53,6.5,3.75,1.53
02/10/2011,Fulham,QPR,6,0,H,3,0,H,2,3.3,4,2,3.5,3.8
