Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
18/08/2012,Arsenal,Sunderland,0,0,D,0,0,D,1.4,4.5,8.5,1.35,4.6,9
18/08/2012,Fulham,Norwich,5,0,H,2,0,H,1.8,3.6,4.5,1.8,3.5,4.4
18/08/2012,Newcastle,Tottenham,2,1,H,0,0,D,2.5,3.4,2.75,2.6,3.3,2.75
18/08/2012,QPR,Swansea,0,5,A,0,1,A,2,3.4,3.8,2,3.4,3.6
18/08/2012,Reading,Stoke,1,1,D,0,1,A,2.38,3.25,3.1,2.4,3.2,3.1
18/08/2012,West Brom,Liverpool,3,0,H,1,0,H,4.2,3.5,1.91,4.1,3.5,1.85
18/08/2012,West Ham,Aston Villa,1,0,H,1,0,H,2.2,3.3,3.4,2.25,3.3,3.3
19/08/2012,Man City,Southampton,3,2,H,1,0,H,1.17,7,17,1.18,6.25,16
19/08/2012,Wigan,Chelsea,0,2,A,0,2,A,6,3.75,1.62,6,3.9,1.55
20/08/2012,Everton,Man United,1,0,H,0,0,D,4.33,3.6,1.83,4.6,3.5,1.83
22/08/2012,Chelsea,Reading,4,2,H,1,2,A,1.25,5.5,13,1.25,5.25,12.5
25/08/2012,Aston Villa,Everton,1,3,A,0,3,A,2.9,3.4,2.4,2.95,3.3,2.45
25/08/2012,Chelsea,Newcastle,2,0,H,2,0,H,1.5,4.33,6.5,1.5,4.33,6.5
25/08/2012,Man United,Fulham,3,2,H,3,1,H,1.29,5.5,11,1.28,5.25,10
25/08/2012,Norwich,QPR,1,1,D,1,1,D,2.25,3.4,3.2,2.25,3.3,3.1
25/08/2012,Southampton,Wigan,0,2,A,0,0,D,2.1,3.4,3.5,2.05,3.4,3.5
25/08/2012,Swansea,West Ham,3,0,H,2,0,H,2.1,3.3,3.6,2,3.3,3.75
25/08/2012,Tottenham,West Brom,1,1,D,0,0,D,1.5,4.33,6.5,1.45,4.2,7
26/08/2012,Liverpool,Man City,2,2,D,1,0,H,3.1,3.4,2.3,3,3.5,2.35
