Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
24/08/2012,Dortmund,Werder Bremen,2,1,H,1,0,H,1.3,5.5,9,1.33,5.25,9.25
25/08/2012,Augsburg,Fortuna Dusseldorf,0,2,A,0,0,D,2,3.5,3.6,2.1,3.3,3.4
25/08/2012,Ein Frankfurt,Leverkusen,2,1,H,0,1,A,2.8,3.4,2.4,3,3.6,2.3
25/08/2012,Freiburg,Mainz,1,1,D,0,0,D,2.5,3.3,2.75,2.5,3.2,2.8
25/08/2012,Greuther Furth,Bayern Munich,0,3,A,0,1,A,8.5,4.75,1.36,9.25,4.6,1.34
25/08/2012,Hamburg,Nurnberg,0,1,A,0,0,D,2.05,3.4,3.5,2.1,3.3,3.4
25/08/2012,M'gladbach,Hoffenheim,2,1,H,1,0,H,1.91,3.4,4,2,3.3,4
26/08/2012,Hannover,Schalke 04,2,2,D,1,0,H,2.88,3.4,2.38,2.8,3.4,2.4
26/08/2012,Stuttgart,Wolfsburg,0,1,A,0,0,D,2,3.5,3.6,2.05,3.6,3.5
31/08/2012,Mainz,Greuther Furth,0,1,A,0,0,D,1.8,3.5,4.5,1.87,3.5,4.33
01/09/2012,Fortuna Dusseldorf,M'gladbach,0,0,D,0,0,D,2.9,3.3,2.4,3,3.3,2.3
01/09/2012,Hoffenheim,Ein Frankfurt,0,4,A,0,2,A,2.05,3.4,3.5,2.05,3.3,3.8
01/09/2012,Leverkusen,Freiburg,2,0,H,1,0,H,1.57,4,5.5,1.62,3.9,5
01/09/2012,Nurnberg,Dortmund,1,1,D,1,1,D,6,4,1.55,6,4,1.53
01/09/2012,Schalke 04,Augsburg,3,1,H,1,0,H,1.36,4.75,8.5,1.36,4.75,8
01/09/2012,Werder Bremen,Hamburg,2,0,H,0,0,D,1.73,3.75,4.5,1.78,3.75,4.5
02/09/2012,Bayern Munich,Stuttgart,6,1,H,3,1,H,1.25,6,11,1.28,5.5,9.25
02/09/2012,Wolfsburg,Hannover,0,4,A,0,2,A,1.95,3.5,3.75,2,3.7,3.6
14/09/2012,Augsburg,Wolfsburg,0,0,D,0,0,D,2.7,3.4,2.5,2.65,3.6,2.55
15/09/2012,Bayern Munich,Mainz,3,1,H,2,0,H,1.17,7,15,1.17,7,14
15/09/2012,Dortmund,Leverkusen,3,0,H,2,0,H,1.44,4.33,7,1.48,4.1,6.75
15/09/2012,Greuther Furth,Schalke 04,0,2,A,0,0,D,3.75,3.5,1.95,4.1,3.6,1.83
15/09/2012,Hannover,Werder Bremen,3,2,H,2,1,H,2.3,3.4,3,2.35,3.5,2.95
