Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
09/08/2013,Bayern Munich,M'gladbach,3,1,H,2,1,H,1.13,8.5,19,1.14,8.25,15
10/08/2013,Augsburg,Dortmund,0,4,A,0,1,A,7,4.33,1.44,7.5,4.6,1.4
10/08/2013,Braunschweig,Werder Bremen,0,1,A,0,0,D,2.7,3.4,2.5,2.7,3.4,2.5
10/08/2013,Hannover,Wolfsburg,2,0,H,1,0,H,2.6,3.4,2.6,2.65,3.4,2.55
10/08/2013,Hertha,Ein Frankfurt,6,1,H,2,1,H,2.2,3.4,3.2,2.4,3.3,2.9
10/08/2013,Hoffenheim,Nurnberg,2,2,D,1,0,H,2.1,3.3,3.5,2.05,3.3,3.6
10/08/2013,Leverkusen,Freiburg,3,1,H,1,1,D,1.44,4.5,6.5,1.45,4.5,6.5
11/08/2013,Mainz,Stuttgart,3,2,H,1,1,D,2.4,3.4,2.8,2.4,3.3,2.9
11/08/2013,Schalke 04,Hamburg,3,3,D,2,2,D,1.44,4.33,7,1.44,4.5,6.75
17/08/2013,Ein Frankfurt,Bayern Munich,0,1,A,0,1,A,10,5.25,1.29,9,6.25,1.26
17/08/2013,Freiburg,Mainz,1,2,A,0,0,D,2.25,3.4,3.1,2.3,3.4,3
17/08/2013,Hamburg,Hoffenheim,1,5,A,1,1,D,2,3.6,3.5,2.05,3.4,3.5
17/08/2013,M'gladbach,Hannover,3,0,H,1,0,H,1.83,3.5,4.33,1.83,3.6,4.2
17/08/2013,Stuttgart,Leverkusen,0,1,A,0,1,A,3.5,3.25,2.1,3.4,3.5,2.05
17/08/2013,Werder Bremen,Augsburg,1,0,H,1,0,H,1.91,3.5,4,1.87,3.5,4.1
17/08/2013,Wolfsburg,Schalke 04,4,0,H,0,0,D,2.88,3.3,2.4,2.8,3.4,2.4
18/08/2013,Dortmund,Braunschweig,2,1,H,0,0,D,1.17,7.5,13,1.15,7.5,16
18/08/2013,Nurnberg,Hertha,2,2,D,1,0,H,2.3,3.4,3,2.35,3.4,2.9
23/08/2013,Dortmund,Werder Bremen,1,0,H,0,0,D,1.2,6.5,13,1.2,6.75,12
24/08/2013,Bayern Munich,Nurnberg,2,0,H,0,0,D,1.1,9,26,1.1,9.25,21
24/08/2013,Hannover,Schalke 04,2,1,H,2,0,H,2.63,3.4,2.6,2.55,3.5,2.6
24/08/2013,Hertha,Hamburg,1,0,H,0,0,D,1.91,3.6,3.8,1.85,3.7,3.9
24/08/2013,Hoffenheim,Freiburg,3,3,D,2,2,D,1.75,3.75,4.5,1.78,3.6,4.4
24/08/2013,Leverkusen,M'gladbach,4,2,H,2,0,H,1.67,3.8,5,1.65,3.9,5
24/08/2013,Mainz,Wolfsburg,2,0,H,0,0,D,2.63,3.4,2.6,2.65,3.5,2.5
25/08/2013,Augsburg,Stuttgart,2,1,H,2,1,H,2.3,3.4,3,2.35,3.3,2.95
25/08/2013,Braunschweig,Ein Frankfurt,0,2,A,0,0,D,2.7,3.4,2.5,2.7,3.5,2.45
27/08/2013,Freiburg,Bayern Munich,1,1,D,0,1,A,13,5.5,1.25,9.25,6.25,1.25
31/08/2013,Hamburg,Braunschweig,4,0,H,2,0,H,1.75,3.75,4.5,1.78,3.7,4.33
31/08/2013,Hannover,Mainz,4,1,H,2,1,H,2.4,3.5,2.75,2.45,3.5,2.7
31/08/2013,M'gladbach,Werder Bremen,4,1,H,1,0,H,1.75,3.75,4.5,1.72,3.75,4.6
31/08/2013,Nurnberg,Augsburg,0,1,A,0,0,D,2.5,3.3,2.8,2.35,3.4,2.9
31/08/2013,Schalke 04,Leverkusen,2,0,H,1,0,H,3.2,3.5,2.15,3.25,3.6,2.1
31/08/2013,Wolfsburg,Hertha,2,0,H,2,0,H,1.91,3.6,3.75,1.91,3.7,3.7
01/09/2013,Ein Frankfurt,Dortmund,1,2,A,1,1,D,6,4.33,1.5,6,4.5,1.48
01/09/2013,Stuttgart,Hoffenheim,6,2,H,3,1,H,2.3,3.5,2.9,2.4,3.4,2.85
13/09/2013,Hertha,Stuttgart,0,1,A,0,0,D,2.15,3.4,3.3,2.3,3.5,3.1
14/09/2013,Augsburg,Freiburg,2,1,H,0,0,D,2,3.4,3.75,2,3.5,3.6
14/09/2013,Bayern Munich,Hannover,2,0,H,0,0,D,1.13,8.5,21,1.12,9.25,15
14/09/2013,Dortmund,Hamburg,6,2,H,2,1,H,1.25,6,11,1.23,6.5,10
14/09/2013,Leverkusen,Wolfsburg,3,1,H,1,1,D,1.8,3.75,4.2,1.8,4,4.2
14/09/2013,Mainz,Schalke 04,0,1,A,0,1,A,2.6,3.4,2.6,2.7,3.5,2.6
14/09/2013,Werder Bremen,Ein Frankfurt,0,3,A,0,2,A,2.45,3.3,2.8,2.5,3.4,2.7
15/09/2013,Braunschweig,Nurnberg,1,1,D,0,1,A,2.7,3.25,2.6,2.75,3.3,2.65
15/09/2013,Hoffenheim,M'gladbach,2,1,H,1,0,H,2.6,3.4,2.6,2.6,3.6,2.65
20/09/2013,M'gladbach,Braunschweig,4,1,H,2,0,H,1.36,4.75,8,1.36,5,8
21/09/2013,Hamburg,Werder Bremen,0,2,A,0,1,A,1.95,3.4,3.9,1.95,3.7,3.6
21/09/2013,Hannover,Augsburg,2,1,H,0,0,D,2.5,3.3,2.75,2.45,3.3,2.85
21/09/2013,Mainz,Leverkusen,1,4,A,0,3,A,3.5,3.5,2.05,3.4,3.5,2.05
21/09/2013,Nurnberg,Dortmund,1,1,D,0,1,A,8,5.25,1.33,8.5,5.5,1.3
21/09/2013,Schalke 04,Bayern Munich,0,4,A,0,2,A,5.5,4.33,1.53,5.25,4.5,1.53
21/09/2013,Wolfsburg,Hoffenheim,2,1,H,1,1,D,1.73,4,4.2,1.7,3.8,4.6
22/09/2013,Freiburg,Hertha,1,1,D,1,1,D,2.38,3.4,2.9,2.4,3.4,2.8
22/09/2013,Stuttgart,Ein Frankfurt,1,1,D,1,1,D,2.15,3.4,3.3,2.25,3.5,3
27/09/2013,Augsburg,M'gladbach,2,2,D,1,1,D,2.5,3.25,2.8,2.55,3.4,2.65
28/09/2013,Bayern Munich,Wolfsburg,1,0,H,0,0,D,1.14,8,15,1.17,8,11.5
28/09/2013,Dortmund,Freiburg,5,0,H,2,0,H,1.18,7,13,1.22,6.5,10.5
28/09/2013,Ein Frankfurt,Hamburg,2,2,D,1,1,D,1.8,3.6,4.33,1.8,3.75,4.1
28/09/2013,Hertha,Mainz,3,1,H,0,1,A,2,3.6,3.5,2,3.4,3.7
28/09/2013,Hoffenheim,Schalke 04,3,3,D,1,3,A,2.8,3.3,2.5,2.7,3.4,2.5
28/09/2013,Leverkusen,Hannover,2,0,H,2,0,H,1.33,5,9,1.35,5.5,7
29/09/2013,Braunschweig,Stuttgart,0,4,A,0,1,A,4,3.5,1.91,3.6,3.7,1.95
29/09/2013,Werder Bremen,Nurnberg,3,3,D,2,1,H,2.05,3.5,3.4,2.05,3.3,3.7
06/10/2013,Freiburg,Ein Frankfurt,1,1,D,0,0,D,2.7,3.4,2.5,2.7,3.3,2.55
06/10/2013,Nurnberg,Hamburg,0,5,A,0,1,A,2.38,3.5,2.8,2.5,3.5,2.65
05/10/2013,Leverkusen,Bayern Munich,1,1,D,1,1,D,5,4.2,1.6,5.25,4,1.6
05/10/2013,Mainz,Hoffenheim,2,2,D,0,2,A,2.25,3.5,3,2.35,3.5,2.8
05/10/2013,M'gladbach,Dortmund,2,0,H,0,0,D,5,3.75,1.67,4.6,3.9,1.7
05/10/2013,Schalke 04,Augsburg,4,1,H,2,1,H,1.73,3.8,4.5,1.72,3.75,4.6
05/10/2013,Stuttgart,Werder Bremen,1,1,D,1,1,D,1.7,3.8,4.75,1.72,3.8,4.5
05/10/2013,Wolfsburg,Braunschweig,0,2,A,0,1,A,1.29,5.5,9.5,1.28,6,8.75
04/10/2013,Hannover,Hertha,1,1,D,1,0,H,2.25,3.4,3.1,2.3,3.3,3.1
18/10/2013,Hoffenheim,Leverkusen,1,2,A,0,1,A,3.25,3.6,2.1,3.5,3.4,2.05
