Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
22/08/2014,Bayern Munich,Wolfsburg,2,1,H,1,0,H,1.25,6,10,1.26,5.75,10
23/08/2014,Dortmund,Leverkusen,0,2,A,0,1,A,1.57,4.33,5,1.62,4,5
23/08/2014,Ein Frankfurt,Freiburg,1,0,H,1,0,H,2.05,3.4,3.6,2.05,3.4,3.5
23/08/2014,FC Koln,Hamburg,0,0,D,0,0,D,2,3.5,3.6,2.05,3.5,3.4
23/08/2014,Hannover,Schalke 04,2,1,H,0,0,D,2.9,3.5,2.3,2.85,3.5,2.3
23/08/2014,Hertha,Werder Bremen,2,2,D,1,0,H,1.95,3.5,3.75,1.95,3.6,3.6
23/08/2014,Hoffenheim,Augsburg,2,0,H,2,0,H,1.91,3.6,3.8,1.95,3.5,3.7
24/08/2014,M'gladbach,Stuttgart,1,1,D,0,0,D,1.95,3.5,3.75,1.95,3.5,3.7
24/08/2014,Paderborn,Mainz,2,2,D,1,1,D,3.1,3.4,2.25,2.85,3.4,2.35
29/08/2014,Augsburg,Dortmund,2,3,A,0,2,A,4.5,3.75,1.73,4.75,3.9,1.72
30/08/2014,Hamburg,Paderborn,0,3,A,0,1,A,1.67,3.8,5,1.78,3.5,4.5
30/08/2014,Leverkusen,Hertha,4,2,H,0,1,A,1.44,4.5,6.5,1.45,4.25,6.75
30/08/2014,Schalke 04,Bayern Munich,1,1,D,0,1,A,6,4.75,1.44,5.75,4.5,1.48
30/08/2014,Stuttgart,FC Koln,0,2,A,0,2,A,2,3.5,3.6,2,3.4,3.6
30/08/2014,Werder Bremen,Hoffenheim,1,1,D,0,1,A,3.2,3.5,2.15,3.1,3.4,2.2
30/08/2014,Wolfsburg,Ein Frankfurt,2,2,D,1,1,D,1.57,4.33,5,1.67,3.7,5
31/08/2014,Freiburg,M'gladbach,0,0,D,0,0,D,2.88,3.4,2.38,2.85,3.5,2.3
31/08/2014,Mainz,Hannover,0,0,D,0,0,D,2.2,3.3,3.3,2.2,3.4,3.1
12/09/2014,Leverkusen,Werder Bremen,3,3,D,1,1,D,1.3,5.5,9,1.4,5.25,7.5
13/09/2014,Bayern Munich,Stuttgart,2,0,H,1,0,H,1.17,7.5,15,1.19,7.25,16.5
13/09/2014,Dortmund,Freiburg,3,1,H,2,0,H,1.25,6,10,1.26,6.5,10.5
13/09/2014,Hertha,Mainz,1,3,A,0,1,A,2.25,3.3,3.2,2.35,3.4,3.1
13/09/2014,Hoffenheim,Wolfsburg,1,1,D,0,0,D,2.4,3.5,2.75,2.5,3.5,2.8
13/09/2014,M'gladbach,Schalke 04,4,1,H,1,0,H,2.4,3.4,2.8,2.5,3.4,2.85
13/09/2014,Paderborn,FC Koln,0,0,D,0,0,D,2.9,3.2,2.45,2.9,3.25,2.6
14/09/2014,Ein Frankfurt,Augsburg,0,1,A,0,0,D,2.25,3.3,3.2,2.3,3.5,3.1
14/09/2014,Hannover,Hamburg,2,0,H,2,0,H,2.2,3.4,3.2,2.25,3.5,3.2
19/09/2014,Freiburg,Hertha,2,2,D,1,1,D,2.5,3.3,2.8,2.6,3.2,2.95
20/09/2014,Augsburg,Werder Bremen,4,2,H,2,1,H,1.91,3.6,3.8,1.95,3.5,4.1
20/09/2014,Hamburg,Bayern Munich,0,0,D,0,0,D,10,6,1.25,9.75,5.5,1.33
20/09/2014,Mainz,Dortmund,2,0,H,0,0,D,5,4.33,1.57,5.5,4.2,1.65
20/09/2014,Paderborn,Hannover,2,0,H,0,0,D,2.8,3.25,2.5,2.8,3.4,2.6
20/09/2014,Schalke 04,Ein Frankfurt,2,2,D,1,2,A,1.73,3.8,4.5,1.8,3.7,4.6
20/09/2014,Stuttgart,Hoffenheim,0,2,A,0,1,A,2.5,3.4,2.7,2.65,3.25,2.8
21/09/2014,FC Koln,M'gladbach,0,0,D,0,0,D,2.75,3.3,2.5,2.8,3.2,2.7
21/09/2014,Wolfsburg,Leverkusen,4,1,H,2,1,H,2.8,3.5,2.4,2.85,3.3,2.6
23/09/2014,Bayern Munich,Paderborn,4,0,H,2,0,H,1.11,9,21,1.15,7.5,15
23/09/2014,Ein Frankfurt,Mainz,2,2,D,1,2,A,2.38,3.3,2.9,2.45,3.3,2.8
23/09/2014,Hoffenheim,Freiburg,3,3,D,1,2,A,1.62,4,5.25,1.7,3.5,5
23/09/2014,Werder Bremen,Schalke 04,0,3,A,0,0,D,2.8,3.4,2.4,2.8,3.4,2.4
24/09/2014,Dortmund,Stuttgart,2,2,D,0,0,D,1.36,5,7.5,1.35,5,7.75
24/09/2014,Hannover,FC Koln,1,0,H,1,0,H,2.15,3.4,3.25,2.25,3.2,3.2
24/09/2014,Hertha,Wolfsburg,1,0,H,1,0,H,3,3.5,2.25,2.95,3.3,2.35
24/09/2014,Leverkusen,Augsburg,1,0,H,1,0,H,1.57,4.2,5.25,1.55,4.33,5.25
24/09/2014,M'gladbach,Hamburg,1,0,H,1,0,H,1.65,4,4.75,1.7,3.75,4.75
26/09/2014,Mainz,Hoffenheim,0,0,D,0,0,D,2.4,3.4,2.8,2.45,3.3,2.75
27/09/2014,FC Koln,Bayern Munich,0,2,A,0,1,A,7.5,5,1.36,7.75,4.75,1.38
27/09/2014,Freiburg,Leverkusen,0,0,D,0,0,D,4.2,3.75,1.8,4.4,3.5,1.8
27/09/2014,Paderborn,M'gladbach,1,2,A,0,2,A,3.3,3.5,2.1,3.4,3.3,2.1
27/09/2014,Schalke 04,Dortmund,2,1,H,2,1,H,3.4,3.6,2.05,3.6,3.3,2.05
27/09/2014,Stuttgart,Hannover,1,0,H,0,0,D,1.95,3.5,3.6,2.1,3.25,3.5
27/09/2014,Wolfsburg,Werder Bremen,2,1,H,1,1,D,1.5,4.33,6,1.55,4,5.75
28/09/2014,Augsburg,Hertha,1,0,H,1,0,H,2.05,3.5,3.4,2.05,3.3,3.6
28/09/2014,Hamburg,Ein Frankfurt,1,2,A,0,1,A,2.05,3.5,3.4,2.2,3.25,3.25
03/10/2014,Hertha,Stuttgart,3,2,H,1,1,D,2.25,3.4,3.1,2.4,3.3,2.85
04/10/2014,Bayern Munich,Hannover,4,0,H,3,0,H,1.13,8.5,17,1.15,7.25,15.5
04/10/2014,Dortmund,Hamburg,0,1,A,0,1,A,1.33,5.25,8,1.36,5,7.25
04/10/2014,Ein Frankfurt,FC Koln,3,2,H,1,1,D,2.3,3.2,3.2,2.3,3.3,3
04/10/2014,Hoffenheim,Schalke 04,2,1,H,2,0,H,2.3,3.6,2.88,2.35,3.3,2.95
04/10/2014,Leverkusen,Paderborn,2,2,D,1,1,D,1.33,5.25,8,1.34,5.5,7.25
04/10/2014,Werder Bremen,Freiburg,1,1,D,1,1,D,2.38,3.4,2.88,2.35,3.3,2.95
05/10/2014,M'gladbach,Mainz,1,1,D,1,1,D,1.85,3.6,4,1.91,3.4,4
05/10/2014,Wolfsburg,Augsburg,1,0,H,0,0,D,1.7,3.8,4.75,1.75,3.6,4.5
18/10/2014,Bayern Munich,Werder Bremen,6,0,H,4,0,H,1.1,11,17,1.11,9.25,17
18/10/2014,FC Koln,Dortmund,2,1,H,1,0,H,5,4,1.62,5,3.8,1.65
18/10/2014,Freiburg,Wolfsburg,1,2,A,0,1,A,3.5,3.5,2,3.5,3.4,2.05
18/10/2014,Hannover,M'gladbach,0,3,A,0,1,A,3.1,3.4,2.25,2.95,3.25,2.35
18/10/2014,Mainz,Augsburg,2,1,H,2,0,H,2.3,3.4,3,2.4,3.2,2.95
18/10/2014,Schalke 04,Hertha,2,0,H,1,0,H,1.67,3.8,5,1.78,3.6,4.33
18/10/2014,Stuttgart,Leverkusen,3,3,D,0,3,A,3.4,3.5,2.05,3.4,3.3,2.1
19/10/2014,Hamburg,Hoffenheim,1,1,D,1,1,D,2.4,3.4,2.8,2.55,3.2,2.75
19/10/2014,Paderborn,Ein Frankfurt,3,1,H,0,0,D,2.5,3.4,2.7,2.6,3.2,2.7
24/10/2014,Werder Bremen,FC Koln,0,1,A,0,0,D,2.55,3.4,2.63,2.65,3.2,2.65
25/10/2014,Augsburg,Freiburg,2,0,H,1,0,H,1.83,3.6,4.2,1.91,3.4,3.9
25/10/2014,Dortmund,Hannover,0,1,A,0,0,D,1.22,6.5,11,1.28,6,9
25/10/2014,Ein Frankfurt,Stuttgart,4,5,A,1,2,A,2.25,3.4,3,2.4,3.4,2.8
25/10/2014,Hertha,Hamburg,3,0,H,0,0,D,2.2,3.4,3.2,2.3,3.3,3
25/10/2014,Hoffenheim,Paderborn,1,0,H,0,0,D,1.62,4.33,4.75,1.62,3.75,5.5
25/10/2014,Leverkusen,Schalke 04,1,0,H,0,0,D,1.67,4.1,4.5,1.78,3.8,4.1
26/10/2014,M'gladbach,Bayern Munich,0,0,D,0,0,D,8,4.75,1.36,6.75,4.25,1.45
