Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
17/08/2013,Sociedad,Getafe,2,0,H,1,0,H,1.73,3.6,4.75,1.72,3.6,4.75
17/08/2013,Valencia,Malaga,1,0,H,0,0,D,1.53,4,6,1.57,4,5.5
17/08/2013,Valladolid,Ath Bilbao,1,2,A,1,1,D,2.5,3.3,2.8,2.6,3.3,2.65
18/08/2013,Barcelona,Levante,7,0,H,6,0,H,1.08,10,26,1.08,10.5,23
18/08/2013,Osasuna,Granada,1,2,A,0,2,A,2,3.3,3.75,2,3.3,3.8
18/08/2013,Real Madrid,Betis,2,1,H,1,1,D,1.17,7,17,1.16,7.75,13.5
18/08/2013,Sevilla,Ath Madrid,1,3,A,1,1,D,2.8,3.3,2.5,2.7,3.4,2.5
19/08/2013,Almeria,Villarreal,2,3,A,1,0,H,2.6,3.2,2.75,2.55,3.25,2.75
19/08/2013,Celta,Espanol,2,2,D,1,0,H,2.2,3.2,3.4,2.15,3.4,3.3
19/08/2013,Vallecano,Elche,3,0,H,2,0,H,2.25,3.25,3.25,2.2,3.3,3.25
23/08/2013,Ath Bilbao,Osasuna,2,0,H,1,0,H,1.62,3.75,5.5,1.62,3.7,5.75
23/08/2013,Getafe,Almeria,2,2,D,1,2,A,1.85,3.5,4.2,1.8,3.4,4.6
24/08/2013,Elche,Sociedad,1,1,D,1,0,H,3.2,3.4,2.2,3.4,3.3,2.15
24/08/2013,Espanol,Valencia,3,1,H,1,1,D,3,3.25,2.38,3.1,3.3,2.25
24/08/2013,Villarreal,Valladolid,2,1,H,1,1,D,1.85,3.6,4,1.85,3.4,4.33
25/08/2013,Ath Madrid,Vallecano,5,0,H,3,0,H,1.29,5.25,10,1.34,4.75,9.25
25/08/2013,Betis,Celta,1,2,A,0,0,D,1.8,3.5,4.5,1.72,3.7,4.75
25/08/2013,Levante,Sevilla,0,0,D,0,0,D,3.5,3.3,2.1,3.5,3.25,2.1
25/08/2013,Malaga,Barcelona,0,1,A,0,1,A,13,6,1.22,14,6.25,1.2
26/08/2013,Granada,Real Madrid,0,1,A,0,1,A,7.5,5.5,1.33,9.25,5.25,1.3
30/08/2013,Almeria,Elche,2,2,D,2,1,H,2,3.3,3.8,2,3.3,3.8
30/08/2013,Vallecano,Levante,1,2,A,0,1,A,1.73,3.6,4.75,1.8,3.7,4.2
31/08/2013,Celta,Granada,1,1,D,1,0,H,2.2,3.3,3.3,2.2,3.2,3.4
31/08/2013,Osasuna,Villarreal,0,3,A,0,2,A,2.5,3.2,2.88,2.5,3.25,2.8
31/08/2013,Valladolid,Getafe,1,0,H,0,0,D,2.1,3.3,3.5,2.1,3.3,3.5
01/09/2013,Espanol,Betis,0,0,D,0,0,D,2.05,3.4,3.6,2,3.5,3.6
