Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
27/08/2011,Granada,Betis,0,1,A,0,0,D,2.3,3.4,3,2.35,3.4,2.85
27/08/2011,Sp Gijon,Sociedad,1,2,A,0,1,A,2.05,3.25,3.75,2.05,3.25,3.6
27/08/2011,Valencia,Santander,4,3,H,1,2,A,1.4,4.33,8,1.45,4.2,7
28/08/2011,Ath Bilbao,Vallecano,1,1,D,0,0,D,1.57,3.75,6,1.62,3.8,5.25
28/08/2011,Ath Madrid,Osasuna,0,0,D,0,0,D,1.53,3.8,6.5,1.55,3.8,6.25
28/08/2011,Getafe,Levante,1,1,D,0,0,D,1.8,3.5,4.5,1.75,3.5,4.75
28/08/2011,Mallorca,Espanol,1,0,H,0,0,D,2,3.4,3.75,2.05,3.3,3.6
28/08/2011,Sevilla,Malaga,2,1,H,2,0,H,2.1,3.4,3.4,2.25,3.2,3.4
28/08/2011,Zaragoza,Real Madrid,0,6,A,0,2,A,8.5,5,1.33,8.25,5.5,1.34
29/08/2011,Barcelona,Villarreal,5,0,H,2,0,H,1.25,5.75,11,1.31,5.25,10.5
10/09/2011,Real Madrid,Getafe,4,2,H,1,1,D,1.08,10,26,1.08,9.75,23
10/09/2011,Sociedad,Barcelona,2,2,D,0,2,A,15,7,1.17,16,7.25,1.15
10/09/2011,Valencia,Ath Madrid,1,0,H,0,0,D,1.91,3.6,3.75,1.95,3.6,3.9
10/09/2011,Villarreal,Sevilla,2,2,D,1,1,D,2.1,3.4,3.4,2.2,3.4,3.3
11/09/2011,Betis,Mallorca,1,0,H,0,0,D,1.91,3.4,4,1.85,3.4,4.25
11/09/2011,Espanol,Ath Bilbao,2,1,H,1,0,H,2.4,3.3,2.9,2.4,3.4,2.95
11/09/2011,Osasuna,Sp Gijon,2,1,H,2,0,H,1.91,3.4,4,1.8,3.4,4.5
11/09/2011,Santander,Levante,0,0,D,0,0,D,2.1,3.3,3.5,1.95,3.35,3.8
11/09/2011,Vallecano,Zaragoza,0,0,D,0,0,D,2.2,3.2,3.4,2.15,3.3,3.3
12/09/2011,Malaga,Granada,4,0,H,2,0,H,1.4,4.33,8.5,1.42,4.33,7.5
17/09/2011,Barcelona,Osasuna,8,0,H,5,0,H,1.08,10,26,1.09,9,23
17/09/2011,Granada,Villarreal,1,0,H,0,0,D,3.3,3.3,2.2,3.4,3.3,2.1
17/09/2011,Mallorca,Malaga,0,1,A,0,1,A,3.1,3.4,2.25,3.1,3.3,2.25
17/09/2011,Sevilla,Sociedad,1,0,H,0,0,D,1.53,4,6,1.57,4.1,5.75
17/09/2011,Sp Gijon,Valencia,0,1,A,0,1,A,3.3,3.3,2.2,3.5,3.35,2.05
18/09/2011,Ath Bilbao,Betis,2,3,A,1,3,A,2,3.4,3.75,2,3.4,3.9
18/09/2011,Ath Madrid,Santander,4,0,H,2,0,H,1.44,4.2,7.5,1.45,4.2,7
18/09/2011,Getafe,Vallecano,0,1,A,0,1,A,1.95,3.5,3.8,1.95,3.4,4.1
18/09/2011,Levante,Real Madrid,1,0,H,0,0,D,13,6.5,1.2,13,6.25,1.2
18/09/2011,Zaragoza,Espanol,2,1,H,1,0,H,2.1,3.2,3.6,2.1,3.25,3.5
20/09/2011,Osasuna,Sevilla,0,0,D,0,0,D,2.63,3.3,2.63,2.6,3.3,2.6
20/09/2011,Sociedad,Granada,1,0,H,0,0,D,2,3.4,3.75,1.88,3.3,4.25
20/09/2011,Villarreal,Mallorca,2,0,H,1,0,H,1.62,3.75,5.5,1.62,3.9,5.5
