Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
18/08/2012,Celta,Malaga,0,1,A,0,0,D,2.25,3.25,3.2,2.25,3.4,3.25
18/08/2012,Mallorca,Espanol,2,1,H,1,1,D,2,3.3,3.8,2,3.3,4.1
18/08/2012,Sevilla,Getafe,2,1,H,2,0,H,1.62,3.75,5.5,1.6,3.75,5.5
19/08/2012,Ath Bilbao,Betis,3,5,A,0,3,A,1.83,3.5,4.2,1.85,3.5,4.1
19/08/2012,Barcelona,Sociedad,5,1,H,4,1,H,1.1,9,26,1.08,10,23
19/08/2012,Levante,Ath Madrid,1,1,D,1,1,D,3.2,3.4,2.2,3.1,3.4,2.3
19/08/2012,Real Madrid,Valencia,1,1,D,1,1,D,1.25,6,10,1.26,5.75,9.75
20/08/2012,La Coruna,Osasuna,2,0,H,0,0,D,2,3.4,3.75,1.95,3.4,3.8
20/08/2012,Vallecano,Granada,1,0,H,0,0,D,2.2,3.3,3.3,2.15,3.3,3.3
20/08/2012,Zaragoza,Valladolid,0,1,A,0,1,A,2.15,3.3,3.4,2.05,3.3,3.6
25/08/2012,Betis,Vallecano,1,2,A,1,1,D,1.7,3.6,5,1.7,3.7,4.75
25/08/2012,Espanol,Zaragoza,1,2,A,1,0,H,1.67,3.6,5.25,1.75,3.4,5
25/08/2012,Malaga,Mallorca,1,1,D,0,0,D,1.91,3.5,4,1.9,3.4,4
25/08/2012,Sociedad,Celta,2,1,H,0,0,D,2,3.4,3.75,2.1,3.25,3.75
26/08/2012,Getafe,Real Madrid,2,1,H,0,1,A,9.5,5.5,1.29,10.5,5.5,1.26
26/08/2012,Granada,Sevilla,1,1,D,1,1,D,3,3.25,2.38,3,3.25,2.45
26/08/2012,Osasuna,Barcelona,1,2,A,1,0,H,12,6,1.22,11,6.25,1.22
26/08/2012,Valencia,La Coruna,3,3,D,3,1,H,1.44,4.2,7.5,1.45,4.2,7
27/08/2012,Ath Madrid,Ath Bilbao,4,0,H,2,0,H,1.6,4,5.5,1.67,3.8,5.25
27/08/2012,Valladolid,Levante,2,0,H,1,0,H,2.05,3.4,3.5,2.1,3.2,3.6
01/09/2012,Celta,Osasuna,2,0,H,0,0,D,2,3.3,3.75,2,3.3,4
01/09/2012,La Coruna,Getafe,1,1,D,1,1,D,2.2,3.2,3.4,2.25,3.25,3.4
01/09/2012,Mallorca,Sociedad,1,0,H,0,0,D,2.1,3.2,3.6,2.1,3.25,3.75
